"""","1. 産業_不動産業(百万円)","1. 産業_運輸業(百万円)","1. 産業_情報通信業(百万円)","1. 産業_ｻ-ﾋﾞｽ業(百万円)","2.政府ｻ-ﾋﾞｽ生産者(百万円)","3.対家計民間非営利ｻｰﾋﾞｽ生産者(百万円)","小 計(1+2+3)(百万円)","輸入品に課される税・関税(百万円)","［控除］総資本形成に係る消費税(百万円)","市町村内総生産(百万円)"
"県 計","437477.0","137485.0","86030.0","594549.0","378353.0","91569.0","3551800.0","42970.0","22075.0","3572695.0"
"","","","","","","","","","",""
"  和歌山市","204262.0","65259.0","46957.0","249881.0","162578.0","34727.0","1697583.0","20538.0","10551.0","1707570.0"
"  海 南 市","25844.0","16488.0","5748.0","26528.0","13125.0","4906.0","227542.0","2753.0","1414.0","228881.0"
"  橋 本 市","26598.0","4263.0","3024.0","31453.0","21872.0","3889.0","144993.0","1754.0","901.0","145846.0"
"  有 田 市","13254.0","4852.0","855.0","15475.0","5484.0","2176.0","153215.0","1854.0","952.0","154116.0"
"  御 坊 市","9841.0","3197.0","4112.0","20227.0","14911.0","2209.0","94178.0","1139.0","585.0","94732.0"
"  田 辺 市","26341.0","6596.0","7982.0","53840.0","31332.0","5743.0","234739.0","2840.0","1459.0","236120.0"
"  新 宮 市","11335.0","4571.0","4201.0","24363.0","16846.0","3456.0","108791.0","1316.0","676.0","109431.0"
"  紀の川市","22637.0","7787.0","1752.0","25975.0","15588.0","4113.0","176068.0","2130.0","1094.0","177103.0"
"  岩 出 町","18401.0","2863.0","2513.0","19145.0","12609.0","1420.0","90093.0","1090.0","560.0","90623.0"
"","","","","","","","","","",""
"  紀美野町","3131.0","662.0","310.0","5613.0","2916.0","635.0","22790.0","276.0","142.0","22924.0"
"","","","","","","","","","",""
"  かつらぎ町","7105.0","1510.0","704.0","8217.0","7356.0","777.0","57225.0","692.0","356.0","57562.0"
"  九度山町","1761.0","399.0","90.0","2155.0","1105.0","330.0","8561.0","104.0","53.0","8611.0"
"  高 野 町","1420.0","474.0","781.0","3865.0","1272.0","11733.0","23656.0","286.0","147.0","23795.0"
"","","","","","","","","","",""
"  湯 浅 町","5333.0","1039.0","579.0","7200.0","9003.0","940.0","37017.0","448.0","230.0","37235.0"
"  広 川 町","2547.0","1136.0","42.0","2028.0","3483.0","497.0","16300.0","197.0","101.0","16396.0"
"  有田川町","10633.0","5466.0","958.0","13611.0","10649.0","2039.0","83076.0","1005.0","516.0","83565.0"
"","","","","","","","","","",""
"  美 浜 町","2758.0","194.0","91.0","4842.0","4334.0","206.0","17234.0","208.0","107.0","17335.0"
"  日 高 町","2627.0","511.0","82.0","2048.0","1316.0","564.0","12448.0","151.0","77.0","12521.0"
"  由 良 町","2229.0","827.0","96.0","1968.0","1984.0","564.0","19164.0","232.0","119.0","19276.0"
"  印 南 町","2567.0","834.0","135.0","2624.0","1832.0","756.0","23865.0","289.0","148.0","24005.0"
"  みなべ町","4768.0","1781.0","443.0","4507.0","4570.0","839.0","42079.0","509.0","262.0","42326.0"
"  日高川町","2859.0","677.0","212.0","2985.0","3830.0","1222.0","28963.0","350.0","180.0","29134.0"
"","","","","","","","","","",""
"  白 浜 町","7627.0","2123.0","996.0","26333.0","6154.0","2248.0","64631.0","782.0","402.0","65011.0"
"  上富田町","5248.0","1804.0","442.0","5083.0","6771.0","1073.0","43238.0","523.0","269.0","43492.0"
"  すさみ町","1667.0","195.0","179.0","2259.0","1574.0","234.0","11373.0","138.0","71.0","11440.0"
"","","","","","","","","","",""
"  那智勝浦町","5965.0","1154.0","1011.0","16394.0","3424.0","2055.0","47528.0","575.0","295.0","47807.0"
"  太 地 町","1185.0","30.0","94.0","1030.0","693.0","542.0","7528.0","91.0","47.0","7572.0"
"  古座川町","925.0","0.0","182.0","914.0","1068.0","935.0","6091.0","74.0","38.0","6127.0"
"  北 山 村","116.0","0.0","32.0","268.0","333.0","41.0","3797.0","46.0","24.0","3819.0"
"  串 本 町","6496.0","792.0","1425.0","13719.0","10341.0","701.0","48037.0","581.0","299.0","48319.0"
